code,category,parent_category
8000,"BADGES, EMBLEMS, NAME TAGS AND PLATES, JEWELRY, ETC.",Apparel
20000,"CLOTHING, ATHLETIC, CASUAL, DRESS, UNIFORM, WEATHER RELATED, WORK",Apparel
20100,CLOTHING ACCESSORIES (SEE CLASS 800 FOR SHOES AND BOOTS),Apparel
80000,SHOES AND BOOTS,Apparel
98300,"RENTAL OR LEASE SERVICES OF EQUIPMENT - CLOTHING, JANITORIAL, LAUNDRY, LAWN, PAINTING, SPRAYING, AND TEXTILE EQUIPMENT",Apparel
71500,"PUBLICATIONS AND AUDIOVISUAL MATERIALS (PREPARED MATERIALS ONLY, NOT EQUIPMENT, SUPPLIES, OR PRODUCTION)",Business services
71500,"PUBLICATIONS AND AUDIOVISUAL MATERIALS (PREPARED MATERIALS ONLY, NOT EQUIPMENT, SUPPLIES, OR PRODUCTION)",Business services
91500,COMMUNICATIONS AND MEDIA RELATED SERVICES,Business services
91800,CONSULTING SERVICES,Business services
94600,FINANCIAL SERVICES,Business services
95200,HUMAN SERVICES,Business services
95300,"INSURANCE, ALL TYPES",Business services
95600,"LIBRARY SERVICES (SEE CLASS 908 FOR BOOKBINDING, REBINDING, AND REPAIRING)",Business services
95800,MANAGEMENTSERVICES,Business services
96500,"PRINTING PREPARATIONS: ETCHING, PHOTOENGRAVING, AND PREPARATION OF MATS, NEGATIVES AND PLATES",Business services
96600,PRINTING AND RELATED SERVICES,Business services
96700,PRODUCTION AND MANUFACTURING SERVICES,Business services
98500,"RENTAL OR LEASE SERVICES OF EQUIPMENT - OFFICE, PHOTOGRAPHIC, PRINTING, RADIO/TELEVISION/TELEPHONE EQUIPMENT",Business services
99800,SALE OF SURPLUS and OBSOLETE ITEMS,Business services
11500,"BIOCHEMICALS, RESEARCH",Chemicals
17500,CHEMICAL LABORATORY EQUIPMENT AND SUPPLIES,Chemicals
18000,CHEMICAL RAW MATERIALS (IN LARGE QUANTITIES PRIMARILY FOR MANUFACTURING JANITORIAL AND LAUNDRY PRODUCTS),Chemicals
19000,"CHEMICALS AND SOLVENTS, COMMERCIAL (IN BULK)",Chemicals
19200,"CLEANING COMPOSITIONS, DETERGENTS, SOLVENTS, AND STRIPPERS - PREPACKAGED",Chemicals
49300,"LABORATORY EQUIPMENT AND ACCESSORIES: BIOCHEMISTRY, CHEMISTRY, ENVIRONMENTAL SCIENCE, ETC.",Chemicals
67500,POISONS: AGRICULTURAL AND INDUSTRIAL,Chemicals
77500,SALT (SODIUM CHLORIDE) (SEE CLASS 393 FOR TABLE SALT),Chemicals
88500,WATER AND WASTEWATER TREATING CHEMICALS,Chemicals
500,ABRASIVES,Construction supplies and services
1000,"ACOUSTICAL TILE, INSULATING MATERIALS, AND SUPPLIES",Construction supplies and services
2500,AIR COMPRESSORS AND ACCESSORIES,Construction supplies and services
8500,"BAGS, BAGGING, TIES, AND EROSION CONTROL EQUIPMENT",Construction supplies and services
13500,"BRICKS AND OTHER CLAY PRODUCTS, REFRACTORY MATERIALS, AND STONE PRODUCTS",Construction supplies and services
14500,BRUSHES (NOT OTHERWISE CLASSIFIED),Construction supplies and services
15000,BUILDER'S SUPPLIES,Construction supplies and services
15500,BUILDINGS AND STRUCTURES: FABRICATED AND PREFABRICATED,Construction supplies and services
21000,"CONCRETE AND METAL CULVERTS, PILINGS, SEPTIC TANKS, ACCESSORIES AND SUPPLIES",Construction supplies and services
28000,ELECTRICAL CABLES AND WIRES (NOT ELECTRONIC),Construction supplies and services
28500,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),Construction supplies and services
29500,"ELEVATORS AND ESCALATORS, BUILDING TYPE",Construction supplies and services
31500,"EPOXY BASED FORMULATIONS FOR ADHESIVES, COATINGS, AND RELATED AGENTS",Construction supplies and services
36000,"FLOOR COVERING, FLOOR COVERING INSTALLATION AND REMOVAL EQUIPMENT, AND SUPPLIES",Construction supplies and services
44500,"HAND TOOLS (POWERED AND NON-POWERED), ACCESSORIES AND SUPPLIES",Construction supplies and services
45000,HARDWARE AND RELATED ITEMS,Construction supplies and services
46000,"HOSE, ACCESSORIES, AND SUPPLIES: INDUSTRIAL, COMMERCIAL, AND GARDEN",Construction supplies and services
54000,LUMBER AND RELATED PRODUCTS,Construction supplies and services
54500,"MACHINERY AND HARDWARE, INDUSTRIAL",Construction supplies and services
56000,MATERIAL HANDLING AND STORAGE EQUIPMENT AND ALLIED ITEMS,Construction supplies and services
57000,"METALS: BARS, PLATES, RODS, SHEETS, STRIPS, STRUCTURAL SHAPES, TUBING, AND FABRICATED ITEMS",Construction supplies and services
63000,"PAINT, PROTECTIVE COATINGS, VARNISH, WALLPAPER, AND RELATED PRODUCTS",Construction supplies and services
63500,PAINTING EQUIPMENT AND ACCESSORIES,Construction supplies and services
65800,PIPE AND TUBING,Construction supplies and services
65900,PIPE AND TUBING FITTINGS,Construction supplies and services
66500,"PLASTICS, RESINS, FIBERGLASS: CONSTRUCTION, FORMING, LAMINATING, AND MOLDING EQUIPMENT, ACCESSORIES, AND SUPPLIES",Construction supplies and services
67000,"PLUMBING EQUIPMENT, FIXTURES, AND SUPPLIES",Construction supplies and services
74500,ROAD AND HIGHWAY BUILDING MATERIALS (ASPHALTIC),Construction supplies and services
75000,ROAD AND HIGHWAY BUILDING MATERIALS (NOT ASPHALTIC),Construction supplies and services
75500,ROAD AND HIGHWAY EQUIPMENT AND PARTS: ASPHALT AND CONCRETE HANDLING AND PROCESSING,Construction supplies and services
76000,"ROAD AND HIGHWAY EQUIPMENT: EARTH HANDLING, GRADING, MOVING, PACKING, ETC.",Construction supplies and services
76500,"ROAD AND HIGHWAY EQUIPMENT (EXCEPT ASPHALT, CONCRETE, AND EARTH HANDLING EQUIPMENT IN CLASSES 755 AND 760)",Construction supplies and services
77000,ROOFING,Construction supplies and services
81500,"STEAM AND HOT WATER FITTINGS, ACCESSORIES, AND SUPPLIES",Construction supplies and services
82000,STEAM AND HOT WATER BOILERS AND STEAM HEATING EQUIPMENT,Construction supplies and services
89500,WELDING EQUIPMENT AND SUPPLIES,Construction supplies and services
90900,"BUILDING CONSTRUCTION SERVICES, NEW",Construction supplies and services
91200,"CONSTRUCTION SERVICES, GENERAL",Construction supplies and services
91300,"CONSTRUCTION SERVICES, HEAVY",Construction supplies and services
91400,"CONSTRUCTION SERVICES, TRADE (NEW CONSTRUCTION)",Construction supplies and services
94000,"EQUIPMENT MAINTENANCE, REPAIR, CONSTRUCTION, AND RELATED SERVICES - RAILROAD",Construction supplies and services
95900,MARINE CONSTRUCTION SERVICES; MARINE EQUIPMENT MAINTENANCE AND REPAIR; RELATED MARINE SERVICES,Construction supplies and services
3700,"AMUSEMENT, DECORATIONS, ENTERTAINMENT, TOYS, ETC.",Events and recreation supplies and services
5000,ART EQUIPMENT AND SUPPLIES,Events and recreation supplies and services
22500,"COOLERS, DRINKING WATER (WATER FOUNTAINS)",Events and recreation supplies and services
23200,"CRAFTS, GENERAL",Events and recreation supplies and services
23300,"CRAFTS, SPECIALIZED",Events and recreation supplies and services
24000,"CUTLERY, DISHES, FLATWARE, GLASSWARE, TRAYS, UTENSILS, AND SUPPLIES",Events and recreation supplies and services
25500,DECALS AND STAMPS,Events and recreation supplies and services
37500,FOODS: BAKERY PRODUCTS (FRESH),Events and recreation supplies and services
38000,FOODS: DAIRY PRODUCTS (FRESH),Events and recreation supplies and services
38500,"FOODS, FROZEN",Events and recreation supplies and services
39000,FOODS: PERISHABLE,Events and recreation supplies and services
39300,FOODS: STAPLE GROCERY AND GROCER'S MISCELLANEOUS ITEMS,Events and recreation supplies and services
65200,PERSONAL HYGIENE AND GROOMING EQUIPMENT AND SUPPLIES,Events and recreation supplies and services
80300,"SOUND SYSTEMS, COMPONENTS, AND ACCESSORIES: GROUP INTERCOM, MUSIC, PUBLIC ADDRESS, ETC.",Events and recreation supplies and services
80500,"SPORTING GOODS, ATHLETIC EQUIPMENT AND ATHLETIC FACILITY EQUIPMENT",Events and recreation supplies and services
85500,THEATRICAL EQUIPMENT AND SUPPLIES,Events and recreation supplies and services
86000,"TICKETS, COUPON BOOKS, SALES BOOKS, STRIP BOOKS, ETC.",Events and recreation supplies and services
88000,VISUAL EDUCATION EQUIPMENT AND SUPPLIES (EXCEPT PROJECTION LAMPS -SEE CLASS 285),Events and recreation supplies and services
91500,COMMUNICATIONS AND MEDIA RELATED SERVICES,Events and recreation supplies and services
98800,"ROADSIDE, GROUNDS, RECREATIONAL AND PARK AREA SERVICES",Events and recreation supplies and services
500,ABRASIVES,Facilities and landscaping supplies and services
1000,"ACOUSTICAL TILE, INSULATING MATERIALS, AND SUPPLIES",Facilities and landscaping supplies and services
2500,AIR COMPRESSORS AND ACCESSORIES,Facilities and landscaping supplies and services
3100,"AIR CONDITIONING, HEATING, AND VENTILATING: EQUIPMENT, PARTS AND ACCESSORIES (SEE RELATED ITEMS IN CLASS 740)",Facilities and landscaping supplies and services
8500,"BAGS, BAGGING, TIES, AND EROSION CONTROL EQUIPMENT",Facilities and landscaping supplies and services
10000,"BARRELS, DRUMS, KEGS, AND CONTAINERS",Facilities and landscaping supplies and services
13500,"BRICKS AND OTHER CLAY PRODUCTS, REFRACTORY MATERIALS, AND STONE PRODUCTS",Facilities and landscaping supplies and services
14000,"BROOM, BRUSH, AND MOP MANUFACTURING MACHINERY AND SUPPLIES",Facilities and landscaping supplies and services
15000,BUILDER'S SUPPLIES,Facilities and landscaping supplies and services
16500,"CAFETERIA AND KITCHEN EQUIPMENT, COMMERCIAL",Facilities and landscaping supplies and services
18000,CHEMICAL RAW MATERIALS (IN LARGE QUANTITIES PRIMARILY FOR MANUFACTURING JANITORIAL AND LAUNDRY PRODUCTS),Facilities and landscaping supplies and services
19200,"CLEANING COMPOSITIONS, DETERGENTS, SOLVENTS, AND STRIPPERS - PREPACKAGED",Facilities and landscaping supplies and services
21000,"CONCRETE AND METAL CULVERTS, PILINGS, SEPTIC TANKS, ACCESSORIES AND SUPPLIES",Facilities and landscaping supplies and services
22500,"COOLERS, DRINKING WATER (WATER FOUNTAINS)",Facilities and landscaping supplies and services
28000,ELECTRICAL CABLES AND WIRES (NOT ELECTRONIC),Facilities and landscaping supplies and services
28500,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),Facilities and landscaping supplies and services
29000,ENERGY COLLECTING EQUIPMENT AND ACCESSORIES: SOLAR AND WIND,Facilities and landscaping supplies and services
32000,"FASTENING, PACKAGING, STRAPPING, TYING EQUIPMENT AND SUPPLIES",Facilities and landscaping supplies and services
32500,"FEED, BEDDING, VITAMINS AND SUPPLEMENTS FOR ANIMALS (SEE CLASS 875 FOR DRUGS AND PHARMACEUTICALS FOR ANIMALS)",Facilities and landscaping supplies and services
33000,FENCING,Facilities and landscaping supplies and services
33500,FERTILIZERS AND SOIL CONDITIONERS,Facilities and landscaping supplies and services
35000,"FLAGS, FLAG POLES, BANNERS, AND ACCESSORIES",Facilities and landscaping supplies and services
36000,"FLOOR COVERING, FLOOR COVERING INSTALLATION AND REMOVAL EQUIPMENT, AND SUPPLIES",Facilities and landscaping supplies and services
36500,"FLOOR MAINTENANCE MACHINES, PARTS, AND ACCESSORIES",Facilities and landscaping supplies and services
44000,GLASS AND GLAZING SUPPLIES,Facilities and landscaping supplies and services
44500,"HAND TOOLS (POWERED AND NON-POWERED), ACCESSORIES AND SUPPLIES",Facilities and landscaping supplies and services
45000,HARDWARE AND RELATED ITEMS,Facilities and landscaping supplies and services
46000,"HOSE, ACCESSORIES, AND SUPPLIES: INDUSTRIAL, COMMERCIAL, AND GARDEN",Facilities and landscaping supplies and services
48500,"JANITORIAL SUPPLIES, GENERAL LINE",Facilities and landscaping supplies and services
50000,"LAUNDRY AND DRY CLEANING EQUIPMENT, ACCESSORIES, PARTS AND SUPPLIES - COMMERCIAL",Facilities and landscaping supplies and services
50500,LAUNDRY AND DRY CLEANING COMPOUNDS AND SUPPLIES,Facilities and landscaping supplies and services
51000,LAUNDRY TEXTILES AND SUPPLIES,Facilities and landscaping supplies and services
51500,"LAWN MAINTENANCE EQUIPMENT, ACCESSORIES, AND PARTS (NON-AGRICULTURAL APPLICATIONS)",Facilities and landscaping supplies and services
54500,"MACHINERY AND HARDWARE, INDUSTRIAL",Facilities and landscaping supplies and services
54500,"MACHINERY AND HARDWARE, INDUSTRIAL",Facilities and landscaping supplies and services
54500,"MACHINERY AND HARDWARE, INDUSTRIAL",Facilities and landscaping supplies and services
54500,"MACHINERY AND HARDWARE, INDUSTRIAL",Facilities and landscaping supplies and services
55000,"MARKERS, PLAQUES AND TRAFFIC CONTROL DEVICES",Facilities and landscaping supplies and services
56000,MATERIAL HANDLING AND STORAGE EQUIPMENT AND ALLIED ITEMS,Facilities and landscaping supplies and services
57000,"METALS: BARS, PLATES, RODS, SHEETS, STRIPS, STRUCTURAL SHAPES, TUBING, AND FABRICATED ITEMS",Facilities and landscaping supplies and services
59500,"NURSERY STOCK, EQUIPMENT, AND SUPPLIES",Facilities and landscaping supplies and services
63000,"PAINT, PROTECTIVE COATINGS, VARNISH, WALLPAPER, AND RELATED PRODUCTS",Facilities and landscaping supplies and services
63500,PAINTING EQUIPMENT AND ACCESSORIES,Facilities and landscaping supplies and services
65000,"PARK, PLAYGROUND, RECREATIONAL AREA AND SWIMMING POOL EQUIPMENT",Facilities and landscaping supplies and services
65800,PIPE AND TUBING,Facilities and landscaping supplies and services
65900,PIPE AND TUBING FITTINGS,Facilities and landscaping supplies and services
67000,"PLUMBING EQUIPMENT, FIXTURES, AND SUPPLIES",Facilities and landscaping supplies and services
67500,POISONS: AGRICULTURAL AND INDUSTRIAL,Facilities and landscaping supplies and services
72000,PUMPING EQUIPMENT AND ACCESSORIES,Facilities and landscaping supplies and services
73500,"RAGS, SHOP TOWELS, AND WIPING CLOTHS",Facilities and landscaping supplies and services
74000,REFRIGERATION EQUIPMENT AND ACCESSORIES,Facilities and landscaping supplies and services
77000,ROOFING,Facilities and landscaping supplies and services
79000,"SEED, SOD, SOIL, AND INOCULANTS",Facilities and landscaping supplies and services
81000,"SPRAYING EQUIPMENT (EXCEPT HOUSEHOLD, NURSERY PLANT, AND PAINT)",Facilities and landscaping supplies and services
81500,"STEAM AND HOT WATER FITTINGS, ACCESSORIES, AND SUPPLIES",Facilities and landscaping supplies and services
82000,STEAM AND HOT WATER BOILERS AND STEAM HEATING EQUIPMENT,Facilities and landscaping supplies and services
83000,"TANKS (METAL, WOOD, AND SYNTHETIC MATERIALS): MOBILE, PORTABLE, STATIONARY, AND UNDERGROUND TYPES",Facilities and landscaping supplies and services
86500,TWINE,Facilities and landscaping supplies and services
91000,BUILDING MAINTENANCE AND REPAIR SERVICES,Facilities and landscaping supplies and services
